[2026-04-21 22:58:48] [INFO    ] discord.client: logging in using static token
[2026-04-21 22:58:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'CodeCraftBot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1495823027798282471', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2853', 'clan': None, 'bot': True, 'avatar': 'a1b87579232f9ec6190d90437a1f4a0b'}, 'session_type': 'normal', 'session_id': '535f7c2c3c181f8565b30f1976abe327', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1494248822182772856'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['madrid', 'marseille', 'saudi-arabia', 'tel-aviv', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1495823027798282471', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-5609",{"micros":204192,"calls":["id_created",{"micros":1705,"calls":[]},"session_lookup_time",{"micros":8618,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"sessions-prd-gcp-us-east1-c-50",{"micros":193518,"calls":["start_session",{"micros":180964,"calls":["prd-rpc-668486ffc4-677wn",{"micros":38062,"calls":["get_user",{"micros":5580},"get_guilds",{"micros":2879},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":774},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":1544},"apex_experiments",{"micros":134224},"sessions_experiments",{"micros":8},"played_application_ids",{"micros":5},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":37,"calls":[]},"presence_started",{"micros":308,"calls":[]},"guilds_started",{"micros":68,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":12068,"calls":[]},"connect_finished",{"micros":12081,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-04-21 22:58:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 22:58:53] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 535f7c2c3c181f8565b30f1976abe327).
[2026-04-21 22:58:53] [DEBUG   ] discord.client: Dispatching event connect
[2026-04-21 22:58:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'hub_type': None, 'guild_scheduled_events': [], 'vanity_url_code': None, 'max_video_channel_users': 25, 'explicit_content_filter': 0, 'max_stage_video_channel_users': 50, 'max_members': 25000000, 'profile': None, 'default_message_notifications': 0, 'incidents_data': None, 'game_application_ids': None, 'member_count': 3, 'public_updates_channel_id': None, 'verification_role_id': None, 'id': '1494248822182772856', 'inventory_settings': None, 'premium_progress_bar_enabled_user_updated_at': None, 'name': 'CodeCraftServer', 'nsfw_level': 0, 'afk_timeout': 300, 'owner_configured_content_level': 0, 'stage_instances': [], 'channels': [{'version': 1776327081137, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1494248822715584563', 'flags': 0}, {'version': 1776327081140, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1494248822715584564', 'flags': 0}, {'version': 1776327081149, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1494248822715584563', 'name': 'general', 'last_message_id': '1496268789946384545', 'id': '1494248822715584565', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1776327081156, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1494248822715584564', 'name': 'General', 'last_message_id': None, 'id': '1494248822715584566', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1776327100603, 'type': 0, 'topic': 'This is a good place to talk about Week 0', 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1494248822715584563', 'name': 'week-0', 'last_message_id': '1496266714474610709', 'id': '1494248904344993945', 'flags': 0}, {'version': 1776702069199, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1494248822715584563', 'name': 'announcements', 'last_message_id': None, 'id': '1495821636551573786', 'flags': 0}, {'version': 1776807293581, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1494248822715584563', 'nsfw': False, 'name': 'meeting-links', 'last_message_id': None, 'id': '1496262979610611865', 'flags': 0}], 'lazy': True, 'banner': None, 'moderator_reporting': None, 'embedded_activities': [], 'threads': [], 'application_command_counts': {}, 'premium_progress_bar_enabled': False, 'emojis': [], 'soundboard_sounds': [], 'description': None, 'unavailable': False, 'joined_at': '2026-04-21T16:52:26.220000+00:00', 'latest_onboarding_question_id': None, 'activity_instances': [], 'large': False, 'system_channel_flags': 0, 'owner_id': '1494245782218477599', 'premium_features': None, 'discovery_splash': None, 'preferred_locale': 'en-US', 'features': [], 'members': [{'user': {'username': 'CodeCraftBot', 'public_flags': 0, 'primary_guild': None, 'id': '1495823027798282471', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2853', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a1b87579232f9ec6190d90437a1f4a0b'}, 'roles': ['1496191896593371219'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-21T16:52:26.220000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'presences': [], 'stickers': [], 'home_header': None, 'application_id': None, 'official_message_color': None, 'verification_level': 0, 'voice_states': [], 'afk_channel_id': None, 'system_channel_id': '1494248822715584565', 'premium_tier': 0, 'nsfw': False, 'splash': None, 'safety_alerts_channel_id': None, 'roles': [{'version': 1776327081132, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1494248822182772856', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1776327589532, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Instructor', 'mentionable': False, 'managed': False, 'id': '1494250584772186232', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 12069675}, 'color': 12069675}, {'version': 1776790346138, 'unicode_emoji': None, 'tags': {'bot_id': '1495823027798282471'}, 'position': 1, 'permissions': '2815267579456576', 'name': 'CodeCraftBot', 'mentionable': False, 'managed': True, 'id': '1496191896593371219', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'icon': '7128a90c4dc5ebd534a0f9729c0cd2dd', 'version': 1776756059296, 'region': 'deprecated', 'rules_channel_id': None, 'mfa_level': 0, 'premium_subscription_count': 0, 'experiments': {'evaluation_id': None, 'assignments': []}}}
[2026-04-21 22:58:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 22:58:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'b1d71dcb8acf7bebc1a266130093562f', 'members': [{'user': {'username': 'calculus9027', 'public_flags': 0, 'primary_guild': None, 'id': '1494245782218477599', 'global_name': 'Calculus', 'display_name_styles': None, 'display_name': 'Calculus', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-16T08:11:21.030000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'calculusphone9027', 'public_flags': 0, 'primary_guild': None, 'id': '1495378759195557898', 'global_name': 'Calculusphone9027', 'display_name_styles': None, 'display_name': 'Calculusphone9027', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c82b3fa769ed6e6ffdea579381ed5f5c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-21T17:25:14.024000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'CodeCraftBot', 'public_flags': 0, 'primary_guild': None, 'id': '1495823027798282471', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2853', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a1b87579232f9ec6190d90437a1f4a0b'}, 'roles': ['1496191896593371219'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-21T16:52:26.220000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1494248822182772856', 'chunk_index': 0, 'chunk_count': 1}}
[2026-04-21 22:58:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 22:58:53] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1494248822182772856.
[2026-04-21 22:58:55] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-04-21 22:58:55] [DEBUG   ] discord.client: Dispatching event ready
[2026-04-21 22:59:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_UPDATE', 's': 4, 'op': 0, 'd': {'user': {'username': 'calculusphone9027', 'public_flags': 0, 'primary_guild': None, 'id': '1495378759195557898', 'global_name': 'Calculusphone9027', 'display_name_styles': None, 'display_name': 'Calculusphone9027', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6e9e75931ff9178b050753f385228922'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-21T17:25:14.024000+00:00', 'guild_id': '1494248822182772856', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}}
[2026-04-21 22:59:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 22:59:24] [DEBUG   ] discord.client: Dispatching event user_update
[2026-04-21 22:59:24] [DEBUG   ] discord.client: Dispatching event member_update
[2026-04-21 22:59:34] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 4.
[2026-04-21 22:59:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-21 22:59:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '1495378759195557898', 'timestamp': 1776808781, 'member': {'user': {'username': 'calculusphone9027', 'public_flags': 0, 'primary_guild': None, 'id': '1495378759195557898', 'global_name': 'Calculusphone9027', 'display_name_styles': None, 'display_name': 'Calculusphone9027', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6e9e75931ff9178b050753f385228922'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-21T17:25:14.024000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1494248822715584565', 'guild_id': '1494248822182772856'}}
[2026-04-21 22:59:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 22:59:40] [DEBUG   ] discord.client: Dispatching event typing
[2026-04-21 22:59:40] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-04-21 22:59:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '1495378759195557898', 'timestamp': 1776808791, 'member': {'user': {'username': 'calculusphone9027', 'public_flags': 0, 'primary_guild': None, 'id': '1495378759195557898', 'global_name': 'Calculusphone9027', 'display_name_styles': None, 'display_name': 'Calculusphone9027', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6e9e75931ff9178b050753f385228922'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-21T17:25:14.024000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1494248822715584565', 'guild_id': '1494248822182772856'}}
[2026-04-21 22:59:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 22:59:50] [DEBUG   ] discord.client: Dispatching event typing
[2026-04-21 22:59:50] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-04-21 22:59:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-21T22:00:00.538000+00:00', 'pinned': False, 'nonce': '1496269298669191168', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-21T17:25:14.024000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1496269300330135773', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '! CODE Are we using Scratch?', 'components': [], 'channel_type': 0, 'channel_id': '1494248822715584565', 'author': {'username': 'calculusphone9027', 'public_flags': 0, 'primary_guild': None, 'id': '1495378759195557898', 'global_name': 'Calculusphone9027', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '6e9e75931ff9178b050753f385228922'}, 'attachments': [], 'guild_id': '1494248822182772856'}}
[2026-04-21 22:59:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-21 22:59:59] [DEBUG   ] discord.client: Dispatching event message
[2026-04-21 23:00:03] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1494248822715584565/messages with None has returned 200
[2026-04-21 23:00:03] [DEBUG   ] discord.http: GET /channels/{channel_id}/messages has found its initial rate limit bucket hash (f9f85e747f3e8c1f8f7728d616c030bf).
